id,university,program_name,degree_type,category,city,province,duration,tuition_cad,ielts_requirement,intake,application_deadline,description,program_url
25,Simon Fraser University,Beedie School of Business,Bachelor,Engineering,Burnaby,British Columbia,2 years,27980,6.5,September,January,Beedie School of Business at Simon Fraser University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.sfu.ca/students/admission/programs/business/majors.html
26,Simon Fraser University,"Faculty of Communication, Art and Technology",Master,Health,Burnaby,British Columbia,2 years,56046,6.5,September,February,"Faculty of Communication, Art and Technology at Simon Fraser University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://www.sfu.ca/students/admission/programs/fcat/majors.html
27,Simon Fraser University,Faculty of Health Sciences,Bachelor,IT,Burnaby,British Columbia,4 years,46884,6.5,September,February,Faculty of Health Sciences at Simon Fraser University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.sfu.ca/students/admission/programs/health-sciences.html
28,Simon Fraser University,Faculty of Science,Master,Arts,Burnaby,British Columbia,4 years,61841,6.5,September,February,Faculty of Science at Simon Fraser University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.sfu.ca/students/admission/programs/science/majors.html
29,Western University,Arts & Humanities,Bachelor,Health,London,Ontario,2 years,63226,6.5,September,March,Arts & Humanities at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/arts-humanities.html
30,Western University,Computer Science,Master,Engineering,London,Ontario,2 years,53965,6.5,September,March,Computer Science at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/computer-science.html
31,Western University,Engineering,Master,Arts,London,Ontario,4 years,57774,6.5,September,January,Engineering at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/engineering.html
32,Western University,Health Sciences,Bachelor,Engineering,London,Ontario,4 years,41161,6.5,September,March,Health Sciences at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/health-sciences.html
33,Western University,Medical Sciences,Master,Arts,London,Ontario,4 years,28127,6.5,September,January,Medical Sciences at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/medical-sciences.html
34,Western University,Social Science,Master,Business,London,Ontario,4 years,28818,6.5,September,January,Social Science at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/social-science.html
35,Western University,DAN Management & Organizational Studies,Bachelor,Business,London,Ontario,2 years,48026,6.5,September,March,DAN Management & Organizational Studies at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/dan-management-organizational-studies.html
36,Western University,Ivey Business Administration (HBA),Bachelor,Engineering,London,Ontario,2 years,55983,6.5,September,January,Ivey Business Administration (HBA) at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/ivey-business.html
37,Western University,Dive Deeper Into Arts & Humanities,Bachelor,Arts,London,Ontario,4 years,59134,6.5,September,February,Dive Deeper Into Arts & Humanities at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/arts-humanities.html
38,Western University,Dive Deeper Into Computer Science,Bachelor,IT,London,Ontario,4 years,59292,6.5,September,February,Dive Deeper Into Computer Science at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/computer-science.html
39,Western University,Dive Deeper Into Engineering,Bachelor,IT,London,Ontario,2 years,38106,6.5,September,February,Dive Deeper Into Engineering at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/engineering.html
40,Western University,Dive Deeper Into Health Sciences,Bachelor,Business,London,Ontario,2 years,31158,6.5,September,February,Dive Deeper Into Health Sciences at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/health-sciences.html
41,Queen's University,Smith Engineering Tours,Master,Business,Kingston,Ontario,2 years,33171,6.5,September,February,Smith Engineering Tours at Queen's University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://smithengineering.queensu.ca/student-experience/tours/index.html
42,Queen's University,Privacy and Data Collection,Master,Engineering,Kingston,Ontario,2 years,40125,6.5,September,February,Privacy and Data Collection at Queen's University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.queensu.ca/accessandprivacy/privacy/personal/overview
43,Dalhousie University,Arts and Social Sciences,Bachelor,Arts,Halifax,Nova Scotia,4 years,48814,6.5,September,January,Arts and Social Sciences at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/faculty/arts.html
44,Dalhousie University,Computer Science,Master,Arts,Halifax,Nova Scotia,4 years,27179,6.5,September,January,Computer Science at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/faculty/computerscience.html
45,Dalhousie University,Engineering,Master,Engineering,Halifax,Nova Scotia,4 years,60385,6.5,September,January,Engineering at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/faculty/engineering.html
46,Dalhousie University,Management,Master,Business,Halifax,Nova Scotia,4 years,21727,6.5,September,March,Management at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/faculty/management.html
47,Dalhousie University,Enrolment reports and data,Master,Arts,Halifax,Nova Scotia,2 years,21615,6.5,September,February,Enrolment reports and data at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/study/registrars-office/enrolment-reports-data.html
48,Dalhousie University,Student health and wellness,Master,Engineering,Halifax,Nova Scotia,2 years,61664,6.5,September,February,Student health and wellness at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/life-at-dal/health-and-wellness.html
49,Dalhousie University,Dal Arts Centre,Bachelor,Health,Halifax,Nova Scotia,2 years,32276,6.5,September,January,Dal Arts Centre at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/dept/arts-centre.html
50,Dalhousie University,"Healthy people, communities, and populations",Bachelor,Business,Halifax,Nova Scotia,2 years,32503,6.5,September,January,"Healthy people, communities, and populations at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://www.dal.ca/research-and-innovation/research-clusters/healthy-people-communities-and-populations.html
51,Dalhousie University,Budget and finance,Bachelor,Arts,Halifax,Nova Scotia,4 years,28635,6.5,September,January,Budget and finance at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/about/leadership-governance/budget-and-finance.html
52,University of Manitoba,Student health and wellness,Master,Arts,Winnipeg,Manitoba,4 years,22518,6.5,September,March,Student health and wellness at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://umanitoba.ca/student-supports/student-health-and-wellness
53,University of Manitoba,Arts and Culture,Master,Business,Winnipeg,Manitoba,4 years,25014,6.5,September,January,Arts and Culture at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://umanitoba.ca/community/arts-culture
54,University of Manitoba,"Agricultural and Food Sciences, Faculty of",Master,Engineering,Winnipeg,Manitoba,4 years,36753,6.5,September,February,"Agricultural and Food Sciences, Faculty of at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://umanitoba.ca/agricultural-food-sciences
55,University of Manitoba,"Arts, Faculty of",Bachelor,Arts,Winnipeg,Manitoba,2 years,48378,6.5,September,February,"Arts, Faculty of at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",http://umanitoba.ca/arts/
56,University of Manitoba,"Business, I. H. Asper School of",Bachelor,Health,Winnipeg,Manitoba,2 years,51861,6.5,September,March,"Business, I. H. Asper School of at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://umanitoba.ca/asper/
57,University of Manitoba,"Engineering, Price Faculty of",Master,IT,Winnipeg,Manitoba,2 years,20920,6.5,September,February,"Engineering, Price Faculty of at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://umanitoba.ca/engineering/
58,University of Manitoba,"Health Sciences, Rady Faculty of",Master,IT,Winnipeg,Manitoba,2 years,52681,6.5,September,January,"Health Sciences, Rady Faculty of at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://umanitoba.ca/health-sciences/
59,University of Manitoba,"Kinesiology and Recreation Management, Faculty of",Bachelor,Arts,Winnipeg,Manitoba,4 years,36034,6.5,September,February,"Kinesiology and Recreation Management, Faculty of at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://umanitoba.ca/kinesiology-recreation-management/
60,University of Manitoba,"Science, Faculty of",Bachelor,Engineering,Winnipeg,Manitoba,2 years,50023,6.5,September,February,"Science, Faculty of at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://sci.umanitoba.ca/
61,York University,Canadian Business for Internationally Educated Professionals (Track 0),Master,Health,Toronto,Ontario,4 years,22738,6.5,September,February,Canadian Business for Internationally Educated Professionals at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/certificates/canadian-business-for-internationally-educated-professionals
62,York University,Business Economics (Track 1),Bachelor,Business,Toronto,Ontario,4 years,49597,6.5,September,March,Business Economics at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/business-economics/laps
63,Simon Fraser University,Faculty of Applied Sciences (Track 2),Master,Engineering,Burnaby,British Columbia,2 years,49300,6.5,September,March,Faculty of Applied Sciences at Simon Fraser University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.sfu.ca/students/admission/programs/applied-sciences/majors.html
64,University of Toronto,Music & the Performing Arts (Track 3),Master,IT,Toronto,Ontario,2 years,41216,6.5,September,January,Music & the Performing Arts at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://future.utoronto.ca/music-performing-arts
65,Dalhousie University,Student health and wellness (Track 4),Master,Engineering,Halifax,Nova Scotia,2 years,60167,6.5,September,February,Student health and wellness at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/life-at-dal/health-and-wellness.html
66,Dalhousie University,Arts and Social Sciences (Track 5),Bachelor,Arts,Halifax,Nova Scotia,4 years,34806,6.5,September,January,Arts and Social Sciences at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/faculty/arts.html
67,Western University,Ivey Business Administration (HBA) (Track 6),Bachelor,Engineering,London,Ontario,2 years,49067,6.5,September,January,Ivey Business Administration (HBA) at Western University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://welcome.uwo.ca/programs/ivey-business.html
68,University of Manitoba,"Science, Faculty of (Track 7)",Bachelor,Engineering,Winnipeg,Manitoba,2 years,22100,6.5,September,February,"Science, Faculty of at University of Manitoba provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://sci.umanitoba.ca/
69,Dalhousie University,Engineering (Track 8),Master,Engineering,Halifax,Nova Scotia,4 years,47292,6.5,September,January,Engineering at Dalhousie University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.dal.ca/faculty/engineering.html
70,University of British Columbia,Plan your finances (Track 9),Bachelor,Arts,Vancouver,British Columbia,2 years,31658,6.5,September,February,Plan your finances at University of British Columbia provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://you.ubc.ca/applying-ubc/admitted/your-finances/
71,University of Toronto,"Business, Commerce & Management (Track 10)",Master,Health,Toronto,Ontario,4 years,48674,6.5,September,February,"Business, Commerce & Management at University of Toronto provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.",https://future.utoronto.ca/business-commerce-management
72,Simon Fraser University,Faculty of Applied Sciences (Track 11),Master,Engineering,Burnaby,British Columbia,2 years,37446,6.5,September,March,Faculty of Applied Sciences at Simon Fraser University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.sfu.ca/students/admission/programs/applied-sciences/majors.html
73,Simon Fraser University,Faculty of Applied Sciences (Track 12),Master,Engineering,Burnaby,British Columbia,2 years,27177,6.5,September,March,Faculty of Applied Sciences at Simon Fraser University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://www.sfu.ca/students/admission/programs/applied-sciences/majors.html
74,York University,Business Economics (Track 13),Bachelor,Business,Toronto,Ontario,4 years,43080,6.5,September,March,Business Economics at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/business-economics/laps
75,York University,Canadian Business for Internationally Educated Professionals (Track 14),Master,Health,Toronto,Ontario,4 years,60908,6.5,September,February,Canadian Business for Internationally Educated Professionals at York University provides strong academic and practical knowledge. Students gain hands-on experience through projects and coursework. The curriculum is industry-focused. Graduates develop analytical and technical skills. Career opportunities are diverse and global. The program emphasizes innovation and professional growth.,https://futurestudents.yorku.ca/program/certificates/canadian-business-for-internationally-educated-professionals
